iter	Passed	Remaining
0	1	142
1	2	131
2	3	127
3	4	116
4	6	118
5	7	116
6	8	115
7	10	115
8	11	115
9	12	113
10	13	110
11	14	109
12	16	108
13	17	106
14	18	105
15	19	104
16	21	103
17	22	101
18	23	100
19	24	99
20	26	97
21	27	96
22	28	95
23	29	94
24	31	93
25	32	92
26	33	90
27	34	89
28	35	87
29	37	86
30	38	85
31	39	83
32	40	82
33	42	81
34	43	80
35	44	79
36	45	77
37	47	77
38	48	76
39	50	75
40	51	73
41	51	71
42	53	70
43	54	69
44	55	67
45	56	66
46	57	65
47	58	63
48	60	62
49	61	61
50	62	60
51	64	59
52	65	58
53	67	57
54	68	55
55	69	54
56	70	53
57	71	51
58	72	50
59	74	49
60	75	48
61	76	46
62	77	45
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	85	38
69	86	37
70	88	36
71	89	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	107	20
84	109	19
85	110	17
86	111	16
87	112	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	120	5
96	121	3
97	123	2
98	124	1
99	125	0
